"","Monthly_Date","Store","Dept","Monthly_Sales","Region"
"62",2010-02-01,"1","82",79651.92,4
"63",2010-02-01,"1","83",28939.83,3
"64",2010-02-01,"1","85",20960.6,3
"65",2010-02-01,"1","87",141120.35,1
"66",2010-02-01,"1","90",303684.95,3
"67",2010-02-01,"1","91",249707.75,2
"68",2010-02-01,"1","92",543081.19,2
"69",2010-02-01,"1","93",254908.55,3
"70",2010-02-01,"1","94",246698.26,3
"71",2010-02-01,"1","95",429685.07,3
"72",2010-02-01,"1","97",126070.6,3
"73",2010-02-01,"1","98",50160.79,2
"74",2010-02-01,"2","1",179701.6,2
"75",2010-02-01,"2","2",275966.1,2
"76",2010-02-01,"2","3",60937.44,3
"77",2010-02-01,"2","4",180137.76,4
"78",2010-02-01,"2","5",130018.73,2
"79",2010-02-01,"2","6",38829.54,1
"80",2010-02-01,"2","7",112860.25,4
"81",2010-02-01,"2","8",261492.84,4
"82",2010-02-01,"2","9",95036.02,1
"83",2010-02-01,"2","10",157614.08,1
"84",2010-02-01,"2","11",82026.11,4
"85",2010-02-01,"2","12",27482.03,3
"86",2010-02-01,"2","13",202761.11,3
"87",2010-02-01,"2","14",98807.38,2
"88",2010-02-01,"2","16",43716.39,4
"89",2010-02-01,"2","17",70550.12,4
"90",2010-02-01,"2","18",49203.92,3
"91",2010-02-01,"2","19",18110.31,4
"92",2010-02-01,"2","20",27177.5,2
"93",2010-02-01,"2","21",49323.85,3
"94",2010-02-01,"2","22",70736.26,1
"95",2010-02-01,"2","23",115380.8,3
"96",2010-02-01,"2","24",39976.17,3
"97",2010-02-01,"2","25",67070.5,1
"98",2010-02-01,"2","26",50130.01,3
"99",2010-02-01,"2","27",10902,4
"100",2010-02-01,"2","28",5910.38,1
"101",2010-02-01,"2","29",40806.54,1
"102",2010-02-01,"2","30",26881.96,2
"103",2010-02-01,"2","31",14800.11,3
"104",2010-02-01,"2","32",76875.49,1
"105",2010-02-01,"2","33",33347.39,2
"106",2010-02-01,"2","34",79347.08,1
"107",2010-02-01,"2","35",13883.01,1
"108",2010-02-01,"2","36",5394,1
"109",2010-02-01,"2","37",20815.41,3
"110",2010-02-01,"2","38",415904.13,2
"111",2010-02-01,"2","39",7.8,2
"112",2010-02-01,"2","40",354533.9,1
"113",2010-02-01,"2","41",6973.96,2
"114",2010-02-01,"2","42",32487.36,4
"115",2010-02-01,"2","44",32601.17,3
"116",2010-02-01,"2","45",254.75,1
"117",2010-02-01,"2","46",118617.14,1
"118",2010-02-01,"2","48",6486,3
"119",2010-02-01,"2","49",67174.25,2
"120",2010-02-01,"2","51",125.28,4
"121",2010-02-01,"2","52",20003.84,4
"122",2010-02-01,"2","54",1405,2
"123",2010-02-01,"2","55",78123.57,4
"124",2010-02-01,"2","56",12326.83,4
"125",2010-02-01,"2","58",106636.91,1
"126",2010-02-01,"2","59",6226.94,1
"127",2010-02-01,"2","67",79462.02,3
"128",2010-02-01,"2","71",28791.14,4
"129",2010-02-01,"2","72",431548.35,4
"130",2010-02-01,"2","74",82126.07,2
"131",2010-02-01,"2","78",12,3
"132",2010-02-01,"2","79",158108.87,4
"133",2010-02-01,"2","80",110281.74,3
"134",2010-02-01,"2","81",125602.56,1
"135",2010-02-01,"2","82",87241.32,4
"136",2010-02-01,"2","83",31081.19,4
"137",2010-02-01,"2","85",18055.15,4
"138",2010-02-01,"2","87",128336.1,4
"139",2010-02-01,"2","90",407807.75,4
"140",2010-02-01,"2","91",344556.71,1
"141",2010-02-01,"2","92",691294.66,2
"142",2010-02-01,"2","93",253215.41,4
"143",2010-02-01,"2","94",295943.2,2
"144",2010-02-01,"2","95",554803.41,1
"145",2010-02-01,"2","96",117723.23,3
"146",2010-02-01,"2","97",157797.18,2
"147",2010-02-01,"2","98",66660.69,3
"148",2010-02-01,"3","1",33112.61,3
"149",2010-02-01,"3","2",63532.36,3
"150",2010-02-01,"3","3",18866.89,1
"151",2010-02-01,"3","4",32821.12,2
"152",2010-02-01,"3","5",50524.17,1
"153",2010-02-01,"3","6",9844.21,1
"154",2010-02-01,"3","7",34594.97,1
"155",2010-02-01,"3","8",35712.64,4
"156",2010-02-01,"3","9",18592.28,4
"157",2010-02-01,"3","10",41770.74,3
"158",2010-02-01,"3","11",20023.36,1
"159",2010-02-01,"3","12",9052.22,1
"160",2010-02-01,"3","13",44725.72,4
"161",2010-02-01,"3","14",20639.11,2
"162",2010-02-01,"3","16",20947.84,3
"163",2010-02-01,"3","17",13234.62,2
"164",2010-02-01,"3","18",13994.25,3
"165",2010-02-01,"3","19",3272.26,2
"166",2010-02-01,"3","20",6734.26,4
"167",2010-02-01,"3","21",4813.2,1
"168",2010-02-01,"3","22",16103.75,4
"169",2010-02-01,"3","23",36715.95,4
"170",2010-02-01,"3","24",10082.53,3
"171",2010-02-01,"3","25",16710.75,2
"172",2010-02-01,"3","26",17512.82,3
"173",2010-02-01,"3","27",3197.5,2
"174",2010-02-01,"3","28",927.8,3
"175",2010-02-01,"3","29",7628.94,1
"176",2010-02-01,"3","30",6737.66,1
"177",2010-02-01,"3","31",4154.68,3
"178",2010-02-01,"3","32",27344.56,4
"179",2010-02-01,"3","33",13737.49,1
"180",2010-02-01,"3","34",22474.52,3
"181",2010-02-01,"3","35",6171,1
"182",2010-02-01,"3","36",1015.5,2
"183",2010-02-01,"3","38",532478.74,1
"184",2010-02-01,"3","40",77882.73,4
"185",2010-02-01,"3","41",2124.83,3
"186",2010-02-01,"3","42",14733.52,2
"187",2010-02-01,"3","44",7069.58,2
"188",2010-02-01,"3","45",8.5,4
"189",2010-02-01,"3","46",22484.03,2
"190",2010-02-01,"3","47",93,3
"191",2010-02-01,"3","51",20.5,4
"192",2010-02-01,"3","52",3941.81,3
"193",2010-02-01,"3","54",642,4
"194",2010-02-01,"3","55",32256.16,4
"195",2010-02-01,"3","56",7613.45,3
"196",2010-02-01,"3","59",1187.84,3
"197",2010-02-01,"3","60",536.8,1
"198",2010-02-01,"3","67",10105.73,3
"199",2010-02-01,"3","71",5994.85,3
"200",2010-02-01,"3","72",123265.03,4
"201",2010-02-01,"3","74",16992.36,3
"202",2010-02-01,"3","79",32550.13,1
"203",2010-02-01,"3","81",4538.05,2
"204",2010-02-01,"3","82",22286.29,4
"205",2010-02-01,"3","85",3263.38,4
"206",2010-02-01,"3","87",5379.44,3
"207",2010-02-01,"3","90",5750.29,3
"208",2010-02-01,"3","91",665.72,3
"209",2010-02-01,"3","92",26020.39,3
"210",2010-02-01,"3","94",2930.5,3
"211",2010-02-01,"3","95",48105.41,1
"212",2010-02-01,"3","96",12122.4,3
"213",2010-02-01,"3","97",830.49,4
"214",2010-02-01,"4","1",188641.49,1
"215",2010-02-01,"4","2",348220.09,2
"216",2010-02-01,"4","3",62103.21,1
"217",2010-02-01,"4","4",222250.64,1
"218",2010-02-01,"4","5",179586.87,4
"219",2010-02-01,"4","6",38427.73,1
"220",2010-02-01,"4","7",142910.65,1
"221",2010-02-01,"4","8",271583.4,1
"222",2010-02-01,"4","9",91295.59,1
"223",2010-02-01,"4","10",135312.45,2
"224",2010-02-01,"4","11",99041.51,1
"225",2010-02-01,"4","12",30546.81,1
"226",2010-02-01,"4","13",282798.37,2
"227",2010-02-01,"4","14",112624.69,3
"228",2010-02-01,"4","16",38954.7,3
"229",2010-02-01,"4","17",79188.34,1
"230",2010-02-01,"4","18",66339.28,3
"231",2010-02-01,"4","19",16108.68,1
"232",2010-02-01,"4","20",34081.35,1
"233",2010-02-01,"4","21",43447.83,4
"234",2010-02-01,"4","22",77835.45,2
"235",2010-02-01,"4","23",167884.87,3
"236",2010-02-01,"4","24",40973.66,3
"237",2010-02-01,"4","25",57095.75,1
"238",2010-02-01,"4","26",87150.16,4
"239",2010-02-01,"4","27",12307.54,4
"240",2010-02-01,"4","28",4609.66,3
"241",2010-02-01,"4","29",42264.61,3
"242",2010-02-01,"4","30",33746.1,1
"243",2010-02-01,"4","31",13132.46,2
"244",2010-02-01,"4","32",80699.56,4
"245",2010-02-01,"4","33",47159.64,3
"246",2010-02-01,"4","34",97653.5,3
"247",2010-02-01,"4","35",16604.32,4
"248",2010-02-01,"4","36",2389,3
"249",2010-02-01,"4","37",19296.11,3
"250",2010-02-01,"4","38",327227.87,3
"251",2010-02-01,"4","40",336624.89,4
"252",2010-02-01,"4","41",2258.77,4
"253",2010-02-01,"4","42",38048.35,2
"254",2010-02-01,"4","44",21830.84,4
"255",2010-02-01,"4","45",24.97,4
"256",2010-02-01,"4","46",138760.14,4
"257",2010-02-01,"4","47",498,2
"258",2010-02-01,"4","48",7658,3
"259",2010-02-01,"4","49",31397.1,2
"260",2010-02-01,"4","51",58.64,2
"261",2010-02-01,"4","52",16091.58,4
"262",2010-02-01,"4","54",1815.97,1
"263",2010-02-01,"4","55",96977.34,3
"264",2010-02-01,"4","56",14710.69,4
"265",2010-02-01,"4","58",36770.06,1
"266",2010-02-01,"4","59",6253.73,1
"267",2010-02-01,"4","60",1899,3
"268",2010-02-01,"4","67",68582.22,2
"269",2010-02-01,"4","71",36783.24,4
"270",2010-02-01,"4","72",525330.18,3
"271",2010-02-01,"4","74",91638.99,2
"272",2010-02-01,"4","78",2,2
"273",2010-02-01,"4","79",232801.37,1
"274",2010-02-01,"4","80",70198.89,1
"275",2010-02-01,"4","81",114726.85,3
"276",2010-02-01,"4","82",81768.91,2
"277",2010-02-01,"4","83",42877.65,3
"278",2010-02-01,"4","85",12022.61,1
"279",2010-02-01,"4","87",66786.52,1
"280",2010-02-01,"4","90",351811.33,3
"281",2010-02-01,"4","91",291146.54,1
"282",2010-02-01,"4","92",630665.19,3
"283",2010-02-01,"4","93",229106.04,4
"284",2010-02-01,"4","94",245662.66,3
"285",2010-02-01,"4","95",512085.77,2
"286",2010-02-01,"4","96",121180.15,3
"287",2010-02-01,"4","97",147688.78,3
"288",2010-02-01,"4","98",62993.48,2
"289",2010-02-01,"4","99",8.98,4
"290",2010-02-01,"5","1",44771.07,3
"291",2010-02-01,"5","2",46909.38,4
"292",2010-02-01,"5","3",14509.57,3
"293",2010-02-01,"5","4",37441.68,2
"294",2010-02-01,"5","5",33447.51,3
"295",2010-02-01,"5","6",6075.75,4
"296",2010-02-01,"5","7",16859.78,1
"297",2010-02-01,"5","8",55432.61,3
"298",2010-02-01,"5","9",20548.61,3
"299",2010-02-01,"5","10",34509.93,4
"300",2010-02-01,"5","11",20565.01,3
"301",2010-02-01,"5","12",8564.95,1
"302",2010-02-01,"5","13",42298.19,3
"303",2010-02-01,"5","14",14277.72,3
"304",2010-02-01,"5","16",21698.69,4
"305",2010-02-01,"5","17",10460.56,2
"306",2010-02-01,"5","18",11320.13,4
"307",2010-02-01,"5","19",139.5,3
"308",2010-02-01,"5","20",6025.59,1
"309",2010-02-01,"5","21",6864.1,2
"310",2010-02-01,"5","22",11844.26,2
"311",2010-02-01,"5","23",24679.88,2
"312",2010-02-01,"5","24",5615.76,1
"313",2010-02-01,"5","25",10668.94,3
"314",2010-02-01,"5","26",8254.95,3
"315",2010-02-01,"5","27",1781.5,3
"316",2010-02-01,"5","28",1164.58,1
"317",2010-02-01,"5","29",7036.25,1
"318",2010-02-01,"5","30",4486.76,4
"319",2010-02-01,"5","31",2679.15,1
"320",2010-02-01,"5","32",12489.05,3
"321",2010-02-01,"5","33",6477,3
"322",2010-02-01,"5","34",14703.5,3
"323",2010-02-01,"5","35",3765,2
"324",2010-02-01,"5","36",1546,3
"325",2010-02-01,"5","38",214649.47,4
"326",2010-02-01,"5","40",83081.59,4
"327",2010-02-01,"5","41",1117.54,2
"328",2010-02-01,"5","42",10841.86,1
"329",2010-02-01,"5","44",4196.39,3
"330",2010-02-01,"5","45",10.96,3
"331",2010-02-01,"5","46",17949.55,2
"332",2010-02-01,"5","47",30,3
"333",2010-02-01,"5","51",23.68,4
"334",2010-02-01,"5","52",2518.64,2
"335",2010-02-01,"5","54",140,2
"336",2010-02-01,"5","55",17110.84,1
"337",2010-02-01,"5","56",6531,3
"338",2010-02-01,"5","58",3265,4
"339",2010-02-01,"5","59",484.88,1
"340",2010-02-01,"5","60",827.2,2
"341",2010-02-01,"5","67",16256,3
"342",2010-02-01,"5","71",1632.42,4
"343",2010-02-01,"5","72",61726.12,4
"344",2010-02-01,"5","74",13715.79,1
"345",2010-02-01,"5","78",6,3
"346",2010-02-01,"5","79",22137.6,2
"347",2010-02-01,"5","81",7302.15,3
"348",2010-02-01,"5","82",14802.07,3
"349",2010-02-01,"5","85",3052.34,4
"350",2010-02-01,"5","87",34303.72,1
"351",2010-02-01,"5","90",7936.02,4
"352",2010-02-01,"5","91",393.82,1
"353",2010-02-01,"5","92",21092.3,2
"354",2010-02-01,"5","94",1742.5,3
"355",2010-02-01,"5","95",56731.95,3
"356",2010-02-01,"5","96",7203.44,2
"357",2010-02-01,"5","98",2.25,1
"358",2010-02-01,"6","1",124015.71,2
"359",2010-02-01,"6","2",191522.34,1
"360",2010-02-01,"6","3",53966.26,2
"361",2010-02-01,"6","4",127711.69,3
"362",2010-02-01,"6","5",150011.78,2
"363",2010-02-01,"6","6",34924.02,2
"364",2010-02-01,"6","7",93421.13,1
"365",2010-02-01,"6","8",186794.59,2
"366",2010-02-01,"6","9",116702.59,1
"367",2010-02-01,"6","10",175857.88,4
"368",2010-02-01,"6","11",71384.02,2
"369",2010-02-01,"6","12",25645.31,1
"370",2010-02-01,"6","13",150504.61,4
"371",2010-02-01,"6","14",99368.5,3
"372",2010-02-01,"6","16",58257.72,1
"373",2010-02-01,"6","17",75571.59,1
"374",2010-02-01,"6","18",32028.38,2
"375",2010-02-01,"6","19",11967.26,4
"376",2010-02-01,"6","20",35444.57,4
"377",2010-02-01,"6","21",46298.21,4
"378",2010-02-01,"6","22",80708.08,1
"379",2010-02-01,"6","23",116519,3
"380",2010-02-01,"6","24",30324.58,1
"381",2010-02-01,"6","25",58229.5,3
"382",2010-02-01,"6","26",43229.59,3
"383",2010-02-01,"6","27",9866,4
"384",2010-02-01,"6","28",3882.18,2
"385",2010-02-01,"6","29",32346.76,2
"386",2010-02-01,"6","30",21508.8,4
"387",2010-02-01,"6","31",11326.38,2
"388",2010-02-01,"6","32",57601.34,4
"389",2010-02-01,"6","33",32792.13,2
"390",2010-02-01,"6","34",80873.74,2
"391",2010-02-01,"6","35",13716,4
"392",2010-02-01,"6","36",1510,2
"393",2010-02-01,"6","37",19097.25,1
"394",2010-02-01,"6","38",404142.49,4
"395",2010-02-01,"6","40",275396.64,2
"396",2010-02-01,"6","41",6017.48,1
"397",2010-02-01,"6","42",34088.49,3
"398",2010-02-01,"6","44",29154.64,4
"399",2010-02-01,"6","45",90.68,3
"400",2010-02-01,"6","46",105856.42,1
"401",2010-02-01,"6","47",41,2
"402",2010-02-01,"6","48",5202,1
"403",2010-02-01,"6","49",68422.05,3
"404",2010-02-01,"6","51",215.83,1
"405",2010-02-01,"6","52",19423.77,2
"406",2010-02-01,"6","54",1626.47,3
"407",2010-02-01,"6","55",95383.25,2
"408",2010-02-01,"6","56",19939.89,1
"409",2010-02-01,"6","58",12367,4
"410",2010-02-01,"6","59",5180.67,4
"411",2010-02-01,"6","67",64841.53,2
"412",2010-02-01,"6","71",35540.66,2
"413",2010-02-01,"6","72",374703.88,1
"414",2010-02-01,"6","74",81368.06,1
"415",2010-02-01,"6","78",0,2
"416",2010-02-01,"6","79",109763.44,1
"417",2010-02-01,"6","80",54024.69,4
"418",2010-02-01,"6","81",63136.46,2
"419",2010-02-01,"6","82",75214.61,3
"420",2010-02-01,"6","83",20757.09,4
"421",2010-02-01,"6","85",13240.02,1
"422",2010-02-01,"6","87",132844.18,3
"423",2010-02-01,"6","90",215524.46,2
"424",2010-02-01,"6","91",184889.47,2
"425",2010-02-01,"6","92",411409.75,1
"426",2010-02-01,"6","93",154021.94,2
"427",2010-02-01,"6","94",164892.2,4
"428",2010-02-01,"6","95",329316.1,4
"429",2010-02-01,"6","96",97238.65,1
"430",2010-02-01,"6","97",78135.41,3
"431",2010-02-01,"6","98",40669.38,3
"432",2010-02-01,"7","1",44078.14,4
"433",2010-02-01,"7","2",86470.42,2
"434",2010-02-01,"7","3",26855.38,3
"435",2010-02-01,"7","4",51405,4
"436",2010-02-01,"7","5",58880.47,2
"437",2010-02-01,"7","6",25253.83,3
"438",2010-02-01,"7","7",30538.19,2
"439",2010-02-01,"7","8",58590.56,2
"440",2010-02-01,"7","9",52433.88,1
"441",2010-02-01,"7","10",77802.24,3
"442",2010-02-01,"7","11",61083.1,4
"443",2010-02-01,"7","12",13126.37,1
"444",2010-02-01,"7","13",54665.06,4
"445",2010-02-01,"7","14",36828.76,3
"446",2010-02-01,"7","16",15767.52,3
"447",2010-02-01,"7","17",24939.19,4
"448",2010-02-01,"7","18",7158.96,4
"449",2010-02-01,"7","19",6122.23,1
"450",2010-02-01,"7","20",10469.87,4
"451",2010-02-01,"7","21",8753.18,3
"452",2010-02-01,"7","22",19096.59,2
"453",2010-02-01,"7","23",60455.14,3
"454",2010-02-01,"7","24",11183.88,3
"455",2010-02-01,"7","25",25056.47,3
"456",2010-02-01,"7","26",8981.94,1
"457",2010-02-01,"7","27",1017,2
"458",2010-02-01,"7","28",919.1,4
"459",2010-02-01,"7","29",6145.75,3
"460",2010-02-01,"7","30",4388.5,2
"461",2010-02-01,"7","31",7022.42,4
"462",2010-02-01,"7","32",32105.01,3
"463",2010-02-01,"7","33",7952.34,2
"464",2010-02-01,"7","34",24558.54,4
"465",2010-02-01,"7","35",2840,4
"466",2010-02-01,"7","36",7539.5,2
"467",2010-02-01,"7","38",146172.45,2
"468",2010-02-01,"7","40",145420.97,1
"469",2010-02-01,"7","41",4648.62,3
"470",2010-02-01,"7","42",18810.21,1
"471",2010-02-01,"7","44",15703.34,1
"472",2010-02-01,"7","45",61.86,3
"473",2010-02-01,"7","46",47652.78,3
"474",2010-02-01,"7","47",55,4
"475",2010-02-01,"7","49",70.75,3
"476",2010-02-01,"7","51",98.42,1
"477",2010-02-01,"7","52",9348.47,3
"478",2010-02-01,"7","54",820,2
"479",2010-02-01,"7","55",35008.46,2
"480",2010-02-01,"7","56",3232.25,4
"481",2010-02-01,"7","58",2577,3
"482",2010-02-01,"7","59",934.92,3
"483",2010-02-01,"7","60",448.8,1
"484",2010-02-01,"7","67",18463.02,4
"485",2010-02-01,"7","71",10779.06,3
"486",2010-02-01,"7","72",167875.18,2
"487",2010-02-01,"7","74",29561.12,2
"488",2010-02-01,"7","79",22720.12,4
"489",2010-02-01,"7","80",202.52,3
"490",2010-02-01,"7","81",24077.6,4
"491",2010-02-01,"7","82",37421.11,2
"492",2010-02-01,"7","83",1142.4,2
"493",2010-02-01,"7","85",4392.29,1
"494",2010-02-01,"7","87",28125.76,1
"495",2010-02-01,"7","90",36202.94,4
"496",2010-02-01,"7","91",20051.3,1
"497",2010-02-01,"7","92",92499.77,2
"498",2010-02-01,"7","93",1951.17,1
"499",2010-02-01,"7","94",1329.91,4
"500",2010-02-01,"7","95",108784.98,3
"501",2010-02-01,"7","96",3814.09,4
"502",2010-02-01,"7","97",10674.96,3
"503",2010-02-01,"7","98",2056.01,4
"504",2010-02-01,"8","1",84485.94,3
"505",2010-02-01,"8","2",146190.6,2
"506",2010-02-01,"8","3",35770.28,1
"507",2010-02-01,"8","4",80806.05,4
"508",2010-02-01,"8","5",87060.73,2
"509",2010-02-01,"8","6",18881.86,2
"510",2010-02-01,"8","7",64413.92,3
"511",2010-02-01,"8","8",110525.88,4
"512",2010-02-01,"8","9",37094.02,3
"513",2010-02-01,"8","10",90077.42,1
"514",2010-02-01,"8","11",72367.25,2
"515",2010-02-01,"8","12",23549.95,1
"516",2010-02-01,"8","13",104976.43,2
"517",2010-02-01,"8","14",49235.68,1
"518",2010-02-01,"8","16",19766.94,3
"519",2010-02-01,"8","17",36465.99,4
"520",2010-02-01,"8","18",30784.6,4
"521",2010-02-01,"8","19",6979.38,1
"522",2010-02-01,"8","20",16827.02,4
"523",2010-02-01,"8","21",26434.67,3
"524",2010-02-01,"8","22",34712.23,3
"525",2010-02-01,"8","23",57163.59,4
"526",2010-02-01,"8","24",18604.99,4
"527",2010-02-01,"8","25",27756.25,1
"528",2010-02-01,"8","26",32920.17,2
"529",2010-02-01,"8","27",5789,2
"530",2010-02-01,"8","28",2003.13,4
"531",2010-02-01,"8","29",16278.38,3
"532",2010-02-01,"8","30",12711.7,4
"533",2010-02-01,"8","31",6319.18,1
"534",2010-02-01,"8","32",37558.27,1
"535",2010-02-01,"8","33",23989.95,1
"536",2010-02-01,"8","34",44115.91,1
"537",2010-02-01,"8","35",7974,2
"538",2010-02-01,"8","36",1215,3
"539",2010-02-01,"8","37",11902.04,4
"540",2010-02-01,"8","38",211278.47,2
"541",2010-02-01,"8","40",171831.12,2
"542",2010-02-01,"8","41",1788,2
"543",2010-02-01,"8","42",21717.55,2
"544",2010-02-01,"8","44",15137.8,3
"545",2010-02-01,"8","45",2.5,2
"546",2010-02-01,"8","46",68723.82,1
"547",2010-02-01,"8","47",100,1
"548",2010-02-01,"8","49",17845,3
"549",2010-02-01,"8","52",12828.51,2
"550",2010-02-01,"8","54",1081.47,2
"551",2010-02-01,"8","55",46633.35,1
"552",2010-02-01,"8","56",7824.52,1
"553",2010-02-01,"8","58",15384,2
"554",2010-02-01,"8","59",3320.68,3
"555",2010-02-01,"8","60",1152.8,2
"556",2010-02-01,"8","67",30285.8,1
"557",2010-02-01,"8","71",18539.07,2
"558",2010-02-01,"8","72",267330.31,3
"559",2010-02-01,"8","74",39148.29,1
"560",2010-02-01,"8","78",12,1
"561",2010-02-01,"8","79",92577.92,3
"562",2010-02-01,"8","80",33962.91,4
"563",2010-02-01,"8","81",47135.05,1
"564",2010-02-01,"8","82",61058.96,1
"565",2010-02-01,"8","83",11694.76,1
"566",2010-02-01,"8","85",9886.56,2
"567",2010-02-01,"8","87",59568.61,4
"568",2010-02-01,"8","90",156062.65,3
"569",2010-02-01,"8","91",136070.95,3
"570",2010-02-01,"8","92",242264.89,3
"571",2010-02-01,"8","93",91021.43,2
"572",2010-02-01,"8","94",103992.13,3
"573",2010-02-01,"8","95",238078.08,3
"574",2010-02-01,"8","97",64058.05,1
"575",2010-02-01,"8","98",27384.56,1
"576",2010-02-01,"9","1",58486.29,3
"577",2010-02-01,"9","2",91891.82,3
"578",2010-02-01,"9","3",23828.19,4
"579",2010-02-01,"9","4",63757.91,2
"580",2010-02-01,"9","5",78277.13,4
"581",2010-02-01,"9","6",13357.39,1
"582",2010-02-01,"9","7",41775.31,4
"583",2010-02-01,"9","8",84718.52,1
"584",2010-02-01,"9","9",28917.63,1
"585",2010-02-01,"9","10",46307.1,3
"586",2010-02-01,"9","11",46331.34,4
"587",2010-02-01,"9","12",24090.5,1
"588",2010-02-01,"9","13",87268.94,2
"589",2010-02-01,"9","14",29127.07,1
"590",2010-02-01,"9","16",20879.93,3
"591",2010-02-01,"9","17",21211.2,4
"592",2010-02-01,"9","18",28756.41,2
"593",2010-02-01,"9","19",5249.6,1
"594",2010-02-01,"9","20",10577.28,3
"595",2010-02-01,"9","21",16591.76,1
"596",2010-02-01,"9","22",21163.05,3
"597",2010-02-01,"9","23",36924.73,3
"598",2010-02-01,"9","24",8401.34,1
"599",2010-02-01,"9","25",21224.75,2
"600",2010-02-01,"9","26",18813.24,2
"601",2010-02-01,"9","27",3877.5,2
"602",2010-02-01,"9","28",1234.26,1
"603",2010-02-01,"9","29",8924.03,2
"604",2010-02-01,"9","30",7383,3
"605",2010-02-01,"9","31",4503.7,4
"606",2010-02-01,"9","32",28960.15,2
"607",2010-02-01,"9","33",8307.51,3
"608",2010-02-01,"9","34",31316.06,4
"609",2010-02-01,"9","35",4285,3
"610",2010-02-01,"9","36",713,2
"611",2010-02-01,"9","38",302401.18,1
"612",2010-02-01,"9","40",122935.71,4
"613",2010-02-01,"9","41",3488,4
"614",2010-02-01,"9","42",10632.71,2
"615",2010-02-01,"9","44",10503.42,2
"616",2010-02-01,"9","45",20.5,1
"617",2010-02-01,"9","46",28888.19,1
"618",2010-02-01,"9","47",335.74,1
"619",2010-02-01,"9","49",-15,2
"620",2010-02-01,"9","51",13.16,2
"621",2010-02-01,"9","52",5769.69,3
"622",2010-02-01,"9","54",761,4
"623",2010-02-01,"9","55",40313.69,2
"624",2010-02-01,"9","56",4715.29,2
"625",2010-02-01,"9","59",1022.36,2
"626",2010-02-01,"9","67",19410.32,1
"627",2010-02-01,"9","71",9092.1,1
"628",2010-02-01,"9","72",176265.24,4
"629",2010-02-01,"9","74",28066.79,4
"630",2010-02-01,"9","79",52472.48,3
"631",2010-02-01,"9","80",10.27,1
"632",2010-02-01,"9","81",8753.83,4
"633",2010-02-01,"9","82",33899.69,3
"634",2010-02-01,"9","85",2716.35,3
"635",2010-02-01,"9","87",39301.86,2
"636",2010-02-01,"9","90",9661.29,2
"637",2010-02-01,"9","91",1732.07,1
"638",2010-02-01,"9","92",43720.5,2
"639",2010-02-01,"9","94",3146.25,2
"640",2010-02-01,"9","95",88083.88,4
"641",2010-02-01,"9","96",9109.83,1
